date,crisis_prob_1m,crisis_prob_12m,mc_crisis_1m,es95_1m,es95_12m,stress_median_12m,regime_forecast,recommended_bps,passive_loss,active_loss
2002-08-31,0.73385,0.936,0.936,7.260825582840043,6.0430490003971356,-0.08059891864047247,2,-150,7.407669564788661,6.932920445517306
2002-11-30,0.40834959349593497,0.38,0.14,3.8587995343255534,5.8748096472514275,-0.0004169670655250757,1,-150,5.218080294565465,4.515919863968244
2003-02-28,0.1387984126984127,0.338,0.146,4.191787589119507,5.352080112364286,-0.03703523407649639,1,-150,5.160582638397646,4.700263904423364
2003-05-31,0.25628914728682173,0.36,0.142,3.5385944173691324,4.78888147087315,-0.03146486926034475,1,-150,5.0643928736264865,4.712161034980984
2003-08-31,0.33460606060606063,0.366,0.14,4.459816068101444,4.730901058803163,0.04253940606801884,1,-150,5.456103591540731,5.160948062152248
2003-11-30,0.5250518518518519,0.368,0.152,3.9307022825136912,4.636127889175623,-0.026980684678211995,1,-150,5.119187521122381,4.820590602125302
2004-02-29,0.7176521739130435,0.92,0.92,6.484139462534975,6.452697637763141,0.11143471506456037,2,-150,7.448393223476362,7.395964318983746
2004-05-31,0.31613617021276597,0.366,0.192,4.378278519573439,4.091139076733462,0.09272814152051967,1,150,5.140628476144421,4.92530426559629
2004-08-31,0.43852222222222226,0.344,0.118,3.2214575953735296,4.643272279728741,0.032536209114913395,1,-150,5.189321958386951,5.160149458201316
2004-11-30,0.32193673469387757,0.35,0.086,2.917994847606713,4.871291841475765,-0.05664343263916814,1,150,4.941582279484913,4.74786108337562
2005-02-28,0.14406666666666668,0.376,0.164,3.7100205371462396,5.094455191742707,0.03461833626990531,1,150,5.055307156256917,4.820835524311357
2005-05-31,0.1637058823529412,0.332,0.14,3.3976699730005073,4.06199877993702,-0.13209530062585387,1,-150,5.277435501896831,5.2244343223539005
2005-08-31,0.6358333333333334,0.34,0.15,3.5970506796279214,4.447147675917625,0.01272836054533228,1,150,5.105015559933727,5.0598948166060795
2005-11-30,0.5366811320754717,0.488,0.342,4.946333430190646,6.563686607239021,0.10780462605519955,2,-150,5.935265773112372,5.670466938408344
2006-02-28,0.7668580246913581,0.93,0.93,6.7225798370774585,5.64639499464032,-0.07606320996177784,2,-150,7.344234601077963,6.9716328972939685
2006-05-31,0.44624545454545456,0.484,0.262,4.036156151416927,5.30599834255088,0.10272713966598387,2,150,5.882499091093811,5.794277659822503
2006-08-31,0.5992071428571429,0.49,0.286,4.839435122379325,5.926058141326394,0.06343381643780702,2,150,5.769872072926589,5.678641025935977
2006-11-30,0.3457842105263158,0.374,0.206,4.07846959072892,6.003064445201605,-0.015823638621370744,1,-150,5.118821162700889,4.680730653018566
2007-02-28,0.061135632183908044,0.362,0.164,4.536736025192398,5.329797579089318,0.061735246370223484,1,150,5.315076709737867,5.111270737535272
2007-05-31,0.5708242937853107,0.352,0.162,3.777700244809609,5.15854785701882,0.10341973831984878,1,150,5.021334722286997,4.876912940572103
2007-08-31,0.5464111111111111,0.36,0.158,3.830873744454726,4.865504491041018,0.07179191391685166,1,150,5.104506312852596,4.9402838641520646
2007-11-30,0.9038136612021859,0.918,0.918,7.997153161159616,6.368824147160627,-0.0289381966958848,2,150,6.751363542998074,6.573046089952074
2008-02-29,0.40133763440860215,0.432,0.288,4.851719321370008,4.999160457849051,-0.14404032336161998,2,150,5.839456182686649,5.740827800702032
2008-05-31,0.14885714285714285,0.342,0.16,3.382214026340064,5.180022405799463,0.04445133661848455,1,150,4.722689928668157,4.59419558564466
2008-08-31,0.5209354166666667,0.442,0.318,5.546496035161548,5.427190084685292,-0.10596986467982003,2,150,5.918113275125907,5.75134712879262
2008-11-30,0.5128999999999999,0.502,0.294,5.065452239692246,5.629355745480511,0.0071333981520412815,2,150,5.986973308919689,5.893137529346572
2009-02-28,0.32912626262626266,0.386,0.19,4.111043501842313,4.389412643998535,0.0808114781600961,1,150,4.998435755218275,4.922667187254258
2009-05-31,0.23535920398009952,0.364,0.192,4.8089788828837055,4.929736684936214,-0.08410036974213317,1,150,4.724224618896991,4.467000966632837
2009-08-31,0.4161941176470588,0.368,0.124,3.2328466779749943,5.002819934249211,0.06361359943105177,1,150,4.850405373139225,4.532691377312579
2009-11-30,0.061220289855072454,0.37,0.148,3.326396683101854,5.159689814960592,-0.08089682360146372,1,150,4.599210587414161,4.510002955475377
2010-02-28,0.18508095238095237,0.36,0.122,3.8515744123422087,5.628048772805909,0.06123256956486045,1,150,5.1652389067159845,5.134916069760769
2010-05-31,0.341706103286385,0.34,0.148,3.4579995149247313,5.521601755234936,0.062308182747127155,1,-150,4.842162777842161,4.346898707018337
2010-08-31,0.6751351851851852,0.388,0.132,3.252985046473487,4.762669148202133,-0.06429248530081216,1,-150,4.636974119306323,3.887692795059197
2010-11-30,0.6107675799086758,0.914,0.914,7.428138560285784,6.566175960523899,0.076596082167046,2,150,6.858866109657902,6.821439083008869
2011-02-28,0.1398936936936937,0.352,0.132,4.29413808665044,4.736598241492119,-0.07998686101935859,1,150,4.708503230088525,4.475394792854506
2011-05-31,0.4688555555555556,0.346,0.118,3.8323282632534847,4.837687733701905,0.16526309518709473,1,150,4.452638749266712,4.311373468069994
2011-08-31,0.7889456140350877,0.902,0.902,5.72786277591933,5.878985617097098,0.026774893994223725,2,150,6.566027711348926,6.486224571708178
2011-11-30,0.2227588744588745,0.364,0.138,3.586545667381804,5.770697576032737,0.14062793430521464,1,150,4.8630450289212925,4.523785236925994
